"","Player_Season_Team","Nationality","PC1","PC2","PC3","PC4","Cluster"
"1","Aaron Brooks_2011_GST",1,1.53080034548331,4.92904000444475,-1.19579887055178,-0.602912475195122,"1"
"2","Alan Anderson_2011_SHA",1,3.19145532343409,4.14866759974901,-0.304545236535656,-0.892349600206054,"1"
"3","Anthony Roberson_2011_FUJ",1,2.14374894945805,5.00893107268564,1.44581595783551,-1.78659708247851,"1"
"4","Cartier Martin_2011_JIL",1,3.49433086141352,2.81338148263493,0.395189336777719,-1.26929745088874,"1"
"5","Charles Gaines_2011_SZD",1,7.85635196643819,-0.733411937006923,0.137995822725722,0.586911846884722,"2"
"6","David Harrison_2011_TIA",1,4.19130879398347,-2.24621996686516,-0.217898179411386,-0.0818504637236264,"3"
"7","Donnell Harvey_2011_TIA",1,5.78629146550203,-0.258704971049955,0.450794261150402,1.32083873727388,"2"
"8","Gani Lawal_2011_XIN",1,6.29039359525996,-2.79238918720222,0.0215452436193682,-0.412951285818607,"2"
"9","J.R. Smith_2011_ZCB",1,5.43906991180052,4.83842841644585,-0.828672945261635,-1.76282612650057,"1"
"10","Jackson Vroman_2011_JIA",1,6.23111923940534,0.0954036384422523,-0.845886208173362,0.551714727434809,"2"
"11","Jameel Watkins_2011_JIL",1,4.92916377671322,-1.93770924880225,-0.505871613397204,-0.414256587379985,"3"
"12","James Singleton_2011_GST",1,3.69980796244677,-0.741220865803753,1.11926120762834,1.06903180859648,"3"
"13","Josh Akognon_2011_DON",1,1.37215448656588,5.55484680764058,0.737051323728412,-1.85460076821479,"1"
"14","Josh Boone_2011_ZCB",1,5.39203668601109,-2.21441987199901,1.21901561539764,1.14127153269318,"2"
"15","Josh Powell_2011_LIA",1,3.88550726200916,-1.33355626975976,1.05118451983432,0.476989696909956,"3"
"16","Kenyon Martin_2011_XIN",1,3.1820785396691,-0.889406044291577,1.11480246252902,1.03112710593346,"3"
"17","Lester Hudson_2011_QIN",1,3.14147805772009,6.57695095732742,0.102771135622158,-1.67078448699951,"1"
"18","Marcus D. Williams_2011_JIA",1,0.888949159424174,2.64739037298441,-1.22842172475457,0.286467572261677,"4"
"19","Marcus Douthit_2011_GFD",1,5.13078273236042,-1.01537311741398,0.152007271334951,0.998426908013317,"2"
"20","Marcus E. Williams_2011_SZD",1,5.25601420764502,3.422435842106,-0.702983912564921,-0.551074815427334,"1"
"21","Marcus Haislip_2011_GFD",1,3.13241586522727,-0.151375888549652,1.37720231306385,-0.488432325335551,"3"
"22","Marcus Landry_2011_SDS",1,2.36260931163957,0.964992297425168,1.91004464562482,-0.576871750978946,"4"
"23","Michel Madanly_2011_GFD",1,1.90175342157357,2.52752367066644,-0.0588625886951293,0.157037532161629,"1"
"24","Mike Harris_2011_SDS",1,4.52891557661702,0.263250159689692,1.69797260361654,1.68285806884776,"2"
"25","Olumide Oyedeji_2011_QIN",1,4.11118612111111,-1.57580701898833,-0.409098704979952,1.01860935237883,"3"
"26","Othello Hunter_2011_SHA",1,3.26302495925956,-0.453827618257376,1.86182658512531,1.21288361622499,"3"
"27","Patty Mills_2011_XIN",1,1.95425693786021,4.74302180047271,0.142988091058381,0.682303336640417,"1"
"28","Peter John Ramos_2011_ZGL",1,5.89492823543778,-1.98651982040778,0.801990401569541,-0.0710022125942433,"2"
"29","Randolph Morris_2011_BSD",1,7.73661857733559,-0.630644332896666,-0.361158731546969,-0.0454334933201606,"2"
"30","Rodney Carney_2011_LIA",1,1.40998982650492,2.59751465398609,2.57593122878735,-1.35812312999126,"4"
"31","Rony Fahed_2011_TIA",1,0.571350810359732,3.49840046804459,-1.16081216660342,-0.109490983146044,"4"
"32","Ryan Forehan-Kelly_2011_SDS",1,1.21285138684607,1.77687027142489,1.24435949316801,0.749483204668117,"4"
"33","Sam Daghles_2011_JIL",1,1.3997053591091,2.86993452222629,-1.4716671972097,2.24033215878255,"4"
"34","Sani Sakakini_2011_QIN",1,2.37032635376508,-1.49580878744441,0.0357672461969092,1.26466940070845,"3"
"35","Shavlik Randolph_2011_DON",1,5.80747530143807,0.115523317575302,1.91184697865605,-0.238267601456593,"2"
"36","Stephon Marbury_2011_BSD",1,4.08673883693173,4.15875346145798,-1.68661311650534,0.226949047223364,"1"
"37","Tim Pickett_2011_XIN",1,3.47334930569394,3.98626929088099,-0.495984510198647,0.222129660964882,"1"
"38","Will McDonald_2011_FUJ",1,5.135222193764,0.15146255142421,0.335927684748422,-0.539069770303199,"2"
"39","Wilson Chandler_2011_ZGL",1,5.27219448046534,1.70116589955272,1.93323304772006,-0.181819027304216,"2"
"40","Zaid Abbas_2011_FUJ",1,3.17890730988159,-0.827538581532067,0.395271795035889,2.36364318740765,"3"
