"","Player_Season_Team","Nationality","PC1","PC2","Cluster","Player","Season","Team.x"
"1","Aaron Brooks_2011_GST",1,1.53080034548331,4.92904000444475,1,"Aaron Brooks",2011,"GST"
"2","Alan Anderson_2011_SHA",1,3.19145532343409,4.14866759974901,1,"Alan Anderson",2011,"SHA"
"3","Anthony Roberson_2011_FUJ",1,2.14374894945805,5.00893107268564,1,"Anthony Roberson",2011,"FUJ"
"4","Cartier Martin_2011_JIL",1,3.49433086141352,2.81338148263493,1,"Cartier Martin",2011,"JIL"
"5","Charles Gaines_2011_SZD",1,7.85635196643819,-0.733411937006923,2,"Charles Gaines",2011,"SZD"
"6","David Harrison_2011_TIA",1,4.19130879398347,-2.24621996686516,3,"David Harrison",2011,"TIA"
"7","Donnell Harvey_2011_TIA",1,5.78629146550203,-0.258704971049955,2,"Donnell Harvey",2011,"TIA"
"8","Gani Lawal_2011_XIN",1,6.29039359525996,-2.79238918720222,2,"Gani Lawal",2011,"XIN"
"9","J.R. Smith_2011_ZCB",1,5.43906991180052,4.83842841644585,1,"J.R. Smith",2011,"ZCB"
"10","Jackson Vroman_2011_JIA",1,6.23111923940534,0.0954036384422523,2,"Jackson Vroman",2011,"JIA"
"11","Jameel Watkins_2011_JIL",1,4.92916377671322,-1.93770924880225,3,"Jameel Watkins",2011,"JIL"
"12","James Singleton_2011_GST",1,3.69980796244677,-0.741220865803753,3,"James Singleton",2011,"GST"
"13","Josh Akognon_2011_DON",1,1.37215448656588,5.55484680764058,1,"Josh Akognon",2011,"DON"
"14","Josh Boone_2011_ZCB",1,5.39203668601109,-2.21441987199901,2,"Josh Boone",2011,"ZCB"
"15","Josh Powell_2011_LIA",1,3.88550726200916,-1.33355626975976,3,"Josh Powell",2011,"LIA"
"16","Kenyon Martin_2011_XIN",1,3.1820785396691,-0.889406044291577,3,"Kenyon Martin",2011,"XIN"
"17","Lester Hudson_2011_QIN",1,3.14147805772009,6.57695095732742,1,"Lester Hudson",2011,"QIN"
"18","Marcus D. Williams_2011_JIA",1,0.888949159424174,2.64739037298441,4,"Marcus D. Williams",2011,"JIA"
"19","Marcus Douthit_2011_GFD",1,5.13078273236042,-1.01537311741398,2,"Marcus Douthit",2011,"GFD"
"20","Marcus E. Williams_2011_SZD",1,5.25601420764502,3.422435842106,1,"Marcus E. Williams",2011,"SZD"
"21","Marcus Haislip_2011_GFD",1,3.13241586522727,-0.151375888549652,3,"Marcus Haislip",2011,"GFD"
"22","Marcus Landry_2011_SDS",1,2.36260931163957,0.964992297425168,4,"Marcus Landry",2011,"SDS"
"23","Michel Madanly_2011_GFD",1,1.90175342157357,2.52752367066644,1,"Michel Madanly",2011,"GFD"
"24","Mike Harris_2011_SDS",1,4.52891557661702,0.263250159689692,2,"Mike Harris",2011,"SDS"
"25","Olumide Oyedeji_2011_QIN",1,4.11118612111111,-1.57580701898833,3,"Olumide Oyedeji",2011,"QIN"
"26","Othello Hunter_2011_SHA",1,3.26302495925956,-0.453827618257376,3,"Othello Hunter",2011,"SHA"
"27","Patty Mills_2011_XIN",1,1.95425693786021,4.74302180047271,1,"Patty Mills",2011,"XIN"
"28","Peter John Ramos_2011_ZGL",1,5.89492823543778,-1.98651982040778,2,"Peter John Ramos",2011,"ZGL"
"29","Randolph Morris_2011_BSD",1,7.73661857733559,-0.630644332896666,2,"Randolph Morris",2011,"BSD"
"30","Rodney Carney_2011_LIA",1,1.40998982650492,2.59751465398609,4,"Rodney Carney",2011,"LIA"
"31","Rony Fahed_2011_TIA",1,0.571350810359732,3.49840046804459,4,"Rony Fahed",2011,"TIA"
"32","Ryan Forehan-Kelly_2011_SDS",1,1.21285138684607,1.77687027142489,4,"Ryan Forehan-Kelly",2011,"SDS"
"33","Sam Daghles_2011_JIL",1,1.3997053591091,2.86993452222629,4,"Sam Daghles",2011,"JIL"
"34","Sani Sakakini_2011_QIN",1,2.37032635376508,-1.49580878744441,3,"Sani Sakakini",2011,"QIN"
"35","Shavlik Randolph_2011_DON",1,5.80747530143807,0.115523317575302,2,"Shavlik Randolph",2011,"DON"
"36","Stephon Marbury_2011_BSD",1,4.08673883693173,4.15875346145798,1,"Stephon Marbury",2011,"BSD"
"37","Tim Pickett_2011_XIN",1,3.47334930569394,3.98626929088099,1,"Tim Pickett",2011,"XIN"
"38","Will McDonald_2011_FUJ",1,5.135222193764,0.15146255142421,2,"Will McDonald",2011,"FUJ"
"39","Wilson Chandler_2011_ZGL",1,5.27219448046534,1.70116589955272,2,"Wilson Chandler",2011,"ZGL"
"40","Zaid Abbas_2011_FUJ",1,3.17890730988159,-0.827538581532067,3,"Zaid Abbas",2011,"FUJ"
"41","Alexander Johnson_2012_LIA",1,6.18159519998675,-1.37750059599918,2,"Alexander Johnson",2012,"LIA"
"42","Aymard-Caha Walsh_2012_JIA",1,-1.25687673936437,0.953380152426995,5,"Aymard-Caha Walsh",2012,"JIA"
"43","Blake Ahearn_2012_DON",1,2.18788064454888,4.97073257032001,1,"Blake Ahearn",2012,"DON"
"44","Charles Gaines_2012_SZD",1,7.47075786301361,-0.707948401636761,2,"Charles Gaines",2012,"SZD"
"45","Chris Daniels_2012_QIN",1,6.2282939744106,0.0674693324927524,2,"Chris Daniels",2012,"QIN"
"46","D.J. White_2012_SDS",1,4.61767748704504,-1.05383568105434,2,"D.J. White",2012,"SDS"
"47","Darnell Jackson_2012_XIN",1,4.5489737920113,-1.16682680023362,3,"Darnell Jackson",2012,"XIN"
"48","Dewarick Spencer_2012_JIL",1,1.70112246881853,4.5138899331324,1,"Dewarick Spencer",2012,"JIL"
"49","Donald Sloan_2012_GST",1,2.36217370529015,2.23847445094805,1,"Donald Sloan",2012,"GST"
"50","Donnell Harvey_2012_TIA",1,5.18880445024375,-0.475312602543997,2,"Donnell Harvey",2012,"TIA"
"51","Doron Perkins_2012_GFD",1,2.78304051668477,2.21150767638972,1,"Doron Perkins",2012,"GFD"
"52","Eddy Curry_2012_ZCB",1,7.51304584310184,-1.6443940704047,2,"Eddy Curry",2012,"ZCB"
"53","Garret Siler_2012_JIA",1,5.32855829226303,-2.76000464317194,3,"Garret Siler",2012,"JIA"
"54","Gary Forbes_2012_ZGL",1,5.505233220701,3.66220553527374,1,"Gary Forbes",2012,"ZGL"
"55","Gilbert Arenas_2012_SDS",1,2.85353956207712,2.50610629119832,1,"Gilbert Arenas",2012,"SDS"
"56","Hamady Ndiaye_2012_TIA",1,4.60667586103375,-4.07724279412718,3,"Hamady Ndiaye",2012,"TIA"
"57","Ike Diogu_2012_GST",1,3.52318807317265,-1.62507685668313,3,"Ike Diogu",2012,"GST"
"58","Jackson Vroman_2012_SHA",1,3.77987305598259,-1.60000769000812,3,"Jackson Vroman",2012,"SHA"
"59","James Singleton_2012_XIN",1,2.45334439320668,-0.267522968010897,3,"James Singleton",2012,"XIN"
"60","Josh Akognon_2012_LIA",1,1.16897831053351,5.05171678246899,1,"Josh Akognon",2012,"LIA"
"61","Lester Hudson_2012_DON",1,2.73825887475715,5.03115696934504,1,"Lester Hudson",2012,"DON"
"62","Marcus E. Williams_2012_SZD",1,5.48350328350826,2.96915308746815,1,"Marcus E. Williams",2012,"SZD"
"63","Marcus Haislip_2012_DON",1,2.75753133153941,1.08975802473619,4,"Marcus Haislip",2012,"DON"
"64","Michel Madanly_2012_GFD",1,-0.0590357168882948,2.56009347774673,4,"Michel Madanly",2012,"GFD"
"65","Mike Harris_2012_JIA",1,3.98233938046725,1.59688443819338,2,"Mike Harris",2012,"JIA"
"66","Peter John Ramos_2012_ZGL",1,5.23630415484931,-1.85306311857943,2,"Peter John Ramos",2012,"ZGL"
"67","Pooh Jeter_2012_SHA",1,1.71654707721029,5.30376723426617,1,"Pooh Jeter",2012,"SHA"
"68","Quincy Douby_2012_ZCB",1,3.52271439684804,4.65479072963061,1,"Quincy Douby",2012,"ZCB"
"69","Randolph Morris_2012_BSD",1,6.42383869163606,-0.448572284570298,2,"Randolph Morris",2012,"BSD"
"70","Rashad McCants_2012_GFD",1,0.258443671165165,3.10066773493191,4,"Rashad McCants",2012,"GFD"
"71","Sam Daghles_2012_TIA",1,0.888433032251722,2.80047364901078,4,"Sam Daghles",2012,"TIA"
"72","Sam Hoskin_2012_JIL",1,5.77000899432126,-1.21337808108186,2,"Sam Hoskin",2012,"JIL"
"73","Shavlik Randolph_2012_GFD",1,8.13513852828065,0.375187454401969,2,"Shavlik Randolph",2012,"GFD"
"74","Solomon Jones_2012_LIA",1,3.34376127397774,-2.04002368972266,3,"Solomon Jones",2012,"LIA"
"75","Stephon Marbury_2012_BSD",1,3.85394075696141,4.36156436643427,1,"Stephon Marbury",2012,"BSD"
"76","Sundiata Gaines_2012_FUJ",1,2.9307145879904,3.24604832704574,1,"Sundiata Gaines",2012,"FUJ"
"77","Terrence Williams_2012_GST",1,2.33618792084871,3.46403914852439,1,"Terrence Williams",2012,"GST"
"78","Tracy McGrady_2012_QIN",1,5.70092533377796,2.61624710273518,1,"Tracy McGrady",2012,"QIN"
"79","Von Wafer_2012_XIN",1,1.70738101072356,3.79510113693914,1,"Von Wafer",2012,"XIN"
"80","Will McDonald_2012_FUJ",1,3.42081987221069,0.010001027598429,3,"Will McDonald",2012,"FUJ"
"81","Zaid Abbas_2012_SHA",1,3.55433247895524,-0.445557232471314,3,"Zaid Abbas",2012,"SHA"
"82","Bobby Brown_2013_DON",1,3.30516565282885,4.84667988323405,1,"Bobby Brown",2013,"DON"
"83","Charles Gaines_2013_SZD",1,6.94026817345493,-0.978322563184686,2,"Charles Gaines",2013,"SZD"
"84","Chris Johnson_2013_ZGL",1,4.77363536545697,-1.65947195066189,3,"Chris Johnson",2013,"ZGL"
"85","D.J. White_2013_SICH",1,3.505640217188,-1.20138540845262,3,"D.J. White",2013,"SICH"
"86","Damien Wilkins_2013_BSD",1,3.67253157255683,1.57613492282245,1,"Damien Wilkins",2013,"BSD"
"87","Darnell Jackson_2013_SDS",1,4.40598617270744,-0.872340060791495,2,"Darnell Jackson",2013,"SDS"
"88","Delonte West_2013_FUJ",1,3.02613941915862,3.63993707116222,1,"Delonte West",2013,"FUJ"
"89","Denzel Bowles_2013_JIL",1,5.91490632626665,-0.561032386631042,2,"Denzel Bowles",2013,"JIL"
"90","Dewarick Spencer_2013_ZCB",1,2.43511883007276,4.06170776701517,1,"Dewarick Spencer",2013,"ZCB"
"91","Dominique Jones_2013_LIA",1,3.64490322260662,3.89528260958112,1,"Dominique Jones",2013,"LIA"
"92","Donnell Harvey_2013_SHA",1,4.30865678187537,-1.23372478096737,3,"Donnell Harvey",2013,"SHA"
"93","Donte Greene_2013_DON",1,4.19131406006049,0.720667666631916,2,"Donte Greene",2013,"DON"
"94","Gerald Fitch_2013_GFD",1,2.10429648388329,3.04739826058052,1,"Gerald Fitch",2013,"GFD"
"95","Hakim Warrick_2013_LIA",1,5.50699192455677,-0.780725900103751,2,"Hakim Warrick",2013,"LIA"
"96","Hamed Haddadi_2013_SICH",1,3.94709260820786,-1.55052374772045,3,"Hamed Haddadi",2013,"SICH"
"97","Ivan Johnson_2013_ZCB",1,5.02197954581789,2.66657397465098,1,"Ivan Johnson",2013,"ZCB"
"98","Jackson Vroman_2013_JIA",1,5.15885520791092,-0.544494414210948,2,"Jackson Vroman",2013,"JIA"
"99","James Singleton_2013_XIN",1,3.48271169324425,-0.0774914231610108,3,"James Singleton",2013,"XIN"
"100","Jerel McNeal_2013_ZCB",1,2.32564915119618,3.30439859592462,1,"Jerel McNeal",2013,"ZCB"
"101","Jonathan Gibson_2013_ZGL",1,4.54356071033023,5.35993023911519,1,"Jonathan Gibson",2013,"ZGL"
"102","Josh Akognon_2013_QIN",1,0.98597607283402,5.73007042418039,1,"Josh Akognon",2013,"QIN"
"103","Josh Powell_2013_GST",1,2.95424493075643,-1.57961112998046,3,"Josh Powell",2013,"GST"
"104","Khalif Wyatt_2013_GST",1,0.688235010330043,3.66571122234378,1,"Khalif Wyatt",2013,"GST"
"105","Lance Thomas_2013_GFD",1,4.56013689921106,-0.490045367174277,2,"Lance Thomas",2013,"GFD"
"106","Leon Rodgers_2013_JIL",1,3.57310699816662,2.74104876395146,1,"Leon Rodgers",2013,"JIL"
"107","Lester Hudson_2013_XIN",1,2.21309811781465,4.32406361930972,1,"Lester Hudson",2013,"XIN"
"108","Marcus E. Williams_2013_SZD",1,5.73112525567992,2.82872291647352,1,"Marcus E. Williams",2013,"SZD"
"109","Marcus Haislip_2013_JIA",1,2.56547767801218,0.677314172891972,4,"Marcus Haislip",2013,"JIA"
"110","Mike Efevberha_2013_SICH",1,4.27305332704407,3.46273567381402,1,"Mike Efevberha",2013,"SICH"
"111","Peter John Ramos_2013_QIN",1,4.83049682852012,-1.85958712906654,3,"Peter John Ramos",2013,"QIN"
"112","Pooh Jeter_2013_SHA",1,1.70112726381526,5.08110694981299,1,"Pooh Jeter",2013,"SHA"
"113","Quincy Douby_2013_SDS",1,2.65055145498592,3.48412173472992,1,"Quincy Douby",2013,"SDS"
"114","Randolph Morris_2013_BSD",1,7.32288954978471,-0.0150844410113166,2,"Randolph Morris",2013,"BSD"
"115","Royal Ivey_2013_GST",1,0.112039602927427,1.17407987820413,5,"Royal Ivey",2013,"GST"
"116","Sam Daghles_2013_JIL",1,-0.3985812169205,2.20855599901312,5,"Sam Daghles",2013,"JIL"
"117","Samad Nik Bahrami_2013_FUJ",1,-0.367939945571267,1.56161172324394,4,"Samad Nik Bahrami",2013,"FUJ"
"118","Sani Sakakini_2013_QIN",1,3.52882517105196,-0.574292367093964,3,"Sani Sakakini",2013,"QIN"
"119","Sebastian Telfair_2013_TIA",1,2.44591918946384,5.30711666129779,1,"Sebastian Telfair",2013,"TIA"
"120","Shelden Williams_2013_TIA",1,5.76291714272168,-1.35149487059895,2,"Shelden Williams",2013,"TIA"
"121","Stephon Marbury_2013_BSD",1,2.90501206595804,3.28203701257489,1,"Stephon Marbury",2013,"BSD"
"122","Tony Mitchell_2013_JIL",1,4.23336506042088,1.93149049527066,1,"Tony Mitchell",2013,"JIL"
"123","Will McDonald_2013_FUJ",1,2.73034438460598,-0.490994878031248,3,"Will McDonald",2013,"FUJ"
"124","Zaid Abbas_2013_TIA",1,2.15367669348952,-0.781579891460466,3,"Zaid Abbas",2013,"TIA"
"125","Andray Blatche_2014_XIN",1,6.23790966002376,2.44377857710578,2,"Andray Blatche",2014,"XIN"
"126","Arnett Moultrie_2014_JIA",1,3.61495445861678,-0.290441207181047,3,"Arnett Moultrie",2014,"JIA"
"127","Arsalan Kazemi_2014_BEIK",1,3.77120563597919,-0.496849939887763,3,"Arsalan Kazemi",2014,"BEIK"
"128","Bernard James_2014_SDS",1,6.29532132285137,-2.13438758833181,2,"Bernard James",2014,"SDS"
"129","Bobby Brown_2014_DON",1,2.83369411004246,4.81682730874211,1,"Bobby Brown",2014,"DON"
"130","Brandon Costner_2014_TONG",1,3.57814647987469,3.38927332575161,1,"Brandon Costner",2014,"TONG"
"131","Charles Gaines_2014_ZCB",1,6.40240575590866,-1.11299744441249,2,"Charles Gaines",2014,"ZCB"
"132","Chris Daniels_2014_GST",1,2.35287751082443,-1.2328980165949,3,"Chris Daniels",2014,"GST"
"133","Chris Johnson_2014_ZCB",1,3.70530007497878,-1.45174922296932,3,"Chris Johnson",2014,"ZCB"
"134","Chris Singleton_2014_JIA",1,5.0588182848595,0.448312432057092,2,"Chris Singleton",2014,"JIA"
"135","D.J. White_2014_FUJ",1,2.49586083239596,-0.633197573522612,3,"D.J. White",2014,"FUJ"
"136","Daniel Orton_2014_SICH",1,4.81401562168316,-1.57099434344,3,"Daniel Orton",2014,"SICH"
"137","Denzel Bowles_2014_JIL",1,5.86136946246925,-1.30466393273597,2,"Denzel Bowles",2014,"JIL"
"138","Deon Thompson_2014_LIA",1,4.82316390723888,-0.971993206675057,2,"Deon Thompson",2014,"LIA"
"139","Dominique Jones_2014_JIL",1,5.01870093104522,5.23586641823749,1,"Dominique Jones",2014,"JIL"
"140","Dwight Buycks_2014_TIA",1,3.65420367960163,3.86492250556216,1,"Dwight Buycks",2014,"TIA"
"141","Earl Clark_2014_SHA",1,4.77738567168144,2.59581954018293,1,"Earl Clark",2014,"SHA"
"142","Eli Holman_2014_ZGL",1,5.14690097320957,-1.70683210538404,2,"Eli Holman",2014,"ZGL"
"143","Emmanuel Mudiay_2014_GST",1,3.22841400637573,2.68938959768911,1,"Emmanuel Mudiay",2014,"GST"
"144","Errick McCollum_2014_ZCB",1,6.15533635136925,4.46236441429828,1,"Errick McCollum",2014,"ZCB"
"145","Fadi El Khatib_2014_GFD",1,3.04342529415724,1.87668138198913,1,"Fadi El Khatib",2014,"GFD"
"146","Hamed Haddadi_2014_QIN",1,5.68967019727057,-2.01293445018226,2,"Hamed Haddadi",2014,"QIN"
"147","Ike Diogu_2014_DON",1,4.83864120205926,0.120369927371121,2,"Ike Diogu",2014,"DON"
"148","Jamaal Franklin_2014_ZGL",1,4.93890265168176,3.81491526439375,1,"Jamaal Franklin",2014,"ZGL"
"149","Jeff Adrien_2014_GST",1,3.04749900933998,-1.78493437132844,3,"Jeff Adrien",2014,"GST"
"150","Jeremy Tyler_2014_SZD",1,7.51902832866191,-1.19096188850494,2,"Jeremy Tyler",2014,"SZD"
"151","J'mison Morgan_2014_BEIK",1,2.33475457415478,-3.40507156988236,3,"J'mison Morgan",2014,"BEIK"
"152","John Lucas_2014_FUJ",1,0.42930890969126,4.44999000863625,4,"John Lucas",2014,"FUJ"
"153","Josh Akognon_2014_GFD",1,0.30713960837922,5.42939882876029,1,"Josh Akognon",2014,"GFD"
"154","Josh Harrellson_2014_BEIK",1,1.49218071800311,0.377014682796799,4,"Josh Harrellson",2014,"BEIK"
"155","Justin Dentmon_2014_QIN",1,1.96048875538501,5.29116906829821,1,"Justin Dentmon",2014,"QIN"
"156","Kevin Murphy_2014_ZGL",1,4.0281892305437,1.94570230977792,1,"Kevin Murphy",2014,"ZGL"
"157","Lester Hudson_2014_LIA",1,2.20798155333204,5.22237921791477,1,"Lester Hudson",2014,"LIA"
"158","Mahdi Kamrany_2014_TONG",1,-0.0508493398235892,3.4398796068906,4,"Mahdi Kamrany",2014,"TONG"
"159","Metta World Peace_2014_SICH",1,2.84704950543909,2.4708513188036,1,"Metta World Peace",2014,"SICH"
"160","Michael Beasley_2014_SDS",1,5.41641812656475,2.387453407164,1,"Michael Beasley",2014,"SDS"
"161","Michel Madanly_2014_JIL",1,-0.856471659217441,3.22316010675714,4,"Michel Madanly",2014,"JIL"
"162","Mike Efevberha_2014_SICH",1,3.24533221966207,3.53689979695423,1,"Mike Efevberha",2014,"SICH"
"163","Mike Harris_2014_QIN",1,3.49183497979017,1.53952765687665,2,"Mike Harris",2014,"QIN"
"164","Miroslav Raduljica_2014_SHA",1,6.48825753443236,-0.466375318754587,2,"Miroslav Raduljica",2014,"SHA"
"165","Pooh Jeter_2014_SHA",1,0.893652651315487,4.64572845623549,1,"Pooh Jeter",2014,"SHA"
"166","Quincy Douby_2014_TIA",1,4.60647575284563,4.2612068849915,1,"Quincy Douby",2014,"TIA"
"167","Randolph Morris_2014_BSD",1,7.83875719091134,-0.425120277030478,2,"Randolph Morris",2014,"BSD"
"168","Sebastian Telfair_2014_XIN",1,0.798604564054512,5.15533818859798,1,"Sebastian Telfair",2014,"XIN"
"169","Shelden Williams_2014_TIA",1,6.08986257263512,-1.42804768879448,2,"Shelden Williams",2014,"TIA"
"170","Stephon Marbury_2014_BSD",1,1.4956096234054,3.02825503205257,1,"Stephon Marbury",2014,"BSD"
"171","Toney Douglas_2014_JIA",1,1.6143995477664,4.49571298323291,1,"Toney Douglas",2014,"JIA"
"172","Viacheslav Kravtsov_2014_GFD",1,5.02982453177795,-2.81167646434522,3,"Viacheslav Kravtsov",2014,"GFD"
"173","Von Wafer_2014_SZD",1,2.8505938735041,4.01804185568078,1,"Von Wafer",2014,"SZD"
"174","Will Bynum_2014_GST",1,2.02927958905058,4.75610286673493,1,"Will Bynum",2014,"GST"
"175","Will McDonald_2014_TONG",1,6.47840381217901,-0.524528130372112,2,"Will McDonald",2014,"TONG"
"176","Willie Warren_2014_BEIK",1,6.09222503251714,3.97419512275289,1,"Willie Warren",2014,"BEIK"
"177","Zaid Abbas_2014_SZD",1,1.75243990970933,-1.40401239315681,6,"Zaid Abbas",2014,"SZD"
"178","A.J. Price_2015_SDS",1,1.72340032072569,4.95261848682693,1,"A.J. Price",2015,"SDS"
"179","Alan Williams_2015_QIN",1,8.16956226039431,-2.00364147538107,2,"Alan Williams",2015,"QIN"
"180","Andray Blatche_2015_XIN",1,5.84557924128928,1.73028898827071,2,"Andray Blatche",2015,"XIN"
"181","Andrew Goudelock_2015_XIN",1,0.057558901700933,3.487828193062,4,"Andrew Goudelock",2015,"XIN"
"182","Bernard James_2015_SDS",1,4.75928687034358,-2.65103272329799,3,"Bernard James",2015,"SDS"
"183","Bobby Brown_2015_DON",1,1.57770063280268,5.13983816788842,1,"Bobby Brown",2015,"DON"
"184","Casper Ware_2015_TIA",1,1.47581718298071,4.45336991687334,1,"Casper Ware",2015,"TIA"
"185","Charles Gaines_2015_ZCB",1,5.92054081028571,-1.49341628280692,2,"Charles Gaines",2015,"ZCB"
"186","Dominic McGuire_2015_DON",1,3.67226322691999,-0.128110120405076,3,"Dominic McGuire",2015,"DON"
"187","Dominique Jones_2015_SZD",1,5.22451139695693,4.72637092294453,1,"Dominique Jones",2015,"SZD"
"188","Dorell Wright_2015_BEIK",1,3.21386249547856,3.49900270404873,1,"Dorell Wright",2015,"BEIK"
"189","Dwight Buycks_2015_FUJ",1,2.33393855042407,3.20100385853472,1,"Dwight Buycks",2015,"FUJ"
"190","Eli Holman_2015_ZGL",1,5.43803206414482,-2.05107898028403,2,"Eli Holman",2015,"ZGL"
"191","Esteban Batista_2015_BEIK",1,6.26471668152769,-0.118513231193875,2,"Esteban Batista",2015,"BEIK"
"192","Fadi El Khatib_2015_FUJ",1,2.32512769686666,1.97370680890506,4,"Fadi El Khatib",2015,"FUJ"
"193","Greg Oden_2015_JIA",1,6.5345885990226,-4.18173674692484,3,"Greg Oden",2015,"JIA"
"194","Hamed Haddadi_2015_SICH",1,5.35613619777964,-1.36852565019336,2,"Hamed Haddadi",2015,"SICH"
"195","Ike Diogu_2015_GST",1,2.07374042219559,0.784322730527143,4,"Ike Diogu",2015,"GST"
"196","Jabari Brown_2015_GFD",1,5.34854297710614,3.94320885357905,1,"Jabari Brown",2015,"GFD"
"197","Jamaal Franklin_2015_SZD",1,6.26686592216633,5.48717746007071,1,"Jamaal Franklin",2015,"SZD"
"198","Jason Maxiell_2015_TIA",1,5.49514409463076,-1.55224151283576,2,"Jason Maxiell",2015,"TIA"
"199","Jeremy Pargo_2015_ZGL",1,2.25888502408175,4.16682344092008,1,"Jeremy Pargo",2015,"ZGL"
"200","Jeremy Tyler_2015_FUJ",1,5.4490020167044,-1.19378413257059,2,"Jeremy Tyler",2015,"FUJ"
"201","Jerome Jordan_2015_TONG",1,5.22134544761992,-1.45681804911065,2,"Jerome Jordan",2015,"TONG"
"202","Jerrelle Benimon_2015_GFD",1,5.26805383035702,0.11969572862844,2,"Jerrelle Benimon",2015,"GFD"
"203","Jonathan Gibson_2015_QIN",1,4.79042040603478,5.82629250415201,1,"Jonathan Gibson",2015,"QIN"
"204","Jordan Crawford_2015_TIA",1,5.25684090093277,5.32090763067962,1,"Jordan Crawford",2015,"TIA"
"205","Josh Akognon_2015_JIL",1,1.36180954397948,4.99275217788492,1,"Josh Akognon",2015,"JIL"
"206","Justin Carter_2015_GST",1,1.88530558951192,2.01915655458979,4,"Justin Carter",2015,"GST"
"207","Justin Dentmon_2015_SICH",1,1.72893470839856,4.97237272677427,1,"Justin Dentmon",2015,"SICH"
"208","Lester Hudson_2015_LIA",1,1.20013376474786,4.70936582610782,1,"Lester Hudson",2015,"LIA"
"209","Liam McMorrow_2015_TONG",1,4.74940311441807,-2.7552912456662,3,"Liam McMorrow",2015,"TONG"
"210","Mahdi Kamrany_2015_BEIK",1,0.636363780796313,4.20479301261152,1,"Mahdi Kamrany",2015,"BEIK"
"211","Marcus E. Williams_2015_JIL",1,5.62131942095991,1.51280361893109,2,"Marcus E. Williams",2015,"JIL"
"212","MarShon Brooks_2015_JIA",1,2.94425465470289,4.24810939542052,1,"MarShon Brooks",2015,"JIA"
"213","Michael Beasley_2015_SHA",1,6.70534968670983,1.91992803257506,2,"Michael Beasley",2015,"SHA"
"214","Mike Harris_2015_SICH",1,3.3771771222111,2.48498163084523,1,"Mike Harris",2015,"SICH"
"215","Peter John Ramos_2015_JIL",1,6.19042151409061,-2.16909119697619,2,"Peter John Ramos",2015,"JIL"
"216","Pooh Jeter_2015_SHA",1,1.43991966228971,6.10779638403757,1,"Pooh Jeter",2015,"SHA"
"217","Randolph Morris_2015_BSD",1,7.45128915658232,-0.57857891011618,2,"Randolph Morris",2015,"BSD"
"218","Samad Nik Bahrami_2015_ZCB",1,0.575440133606409,2.08866694643895,4,"Samad Nik Bahrami",2015,"ZCB"
"219","Samuel Dalembert_2015_SZD",1,4.69956667710989,-2.87196505642876,3,"Samuel Dalembert",2015,"SZD"
"220","Sani Sakakini_2015_TONG",1,4.51143154785046,0.0264555760251157,2,"Sani Sakakini",2015,"TONG"
"221","Shavlik Randolph_2015_LIA",1,5.9687316050153,-0.0782913127555517,2,"Shavlik Randolph",2015,"LIA"
"222","Stephon Marbury_2015_BSD",1,1.49265850606197,3.9424788202062,1,"Stephon Marbury",2015,"BSD"
"223","Von Wafer_2015_TONG",1,1.68998339169304,4.20105951155895,1,"Von Wafer",2015,"TONG"
"224","Will Bynum_2015_GST",1,0.927775355608908,3.83455624075678,4,"Will Bynum",2015,"GST"
"225","Willie Warren_2015_ZCB",1,3.95358756374555,3.7357255489189,1,"Willie Warren",2015,"ZCB"
"226","Yancy Gates_2015_SZD",1,3.58544254924636,-1.50976294681311,3,"Yancy Gates",2015,"SZD"
"227","Alex Stepheson_2016_GFD",1,4.53727841399543,-3.17458204823796,3,"Alex Stepheson",2016,"GFD"
"228","Andray Blatche_2016_XIN",1,6.42160684320664,1.57909955972484,2,"Andray Blatche",2016,"XIN"
"229","Ben Bentil_2016_XIN",1,2.26013192516295,1.35183053897326,1,"Ben Bentil",2016,"XIN"
"230","Cady Lalanne_2016_ZCB",1,4.80447763069954,-1.56641491057347,3,"Cady Lalanne",2016,"ZCB"
"231","Carlos Boozer_2016_GST",1,4.72870669090064,-1.10981914984852,2,"Carlos Boozer",2016,"GST"
